epoch,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12
1,0.05505924345015496,0.0,0.00012319862800786187,0.05453831889607739,0.20157999658304865,0.0007968528683386808,0.224351297130051,0.06668825899236898,0.08800348014256412,0.06051368065177085,0.0,0.017290711381408367,0.002993111951661073
1,0.001350232196175101,0.0,3.2995459824728117e-06,0.023403060209710842,0.23070992919760497,0.002950719354914483,0.21159150867784507,0.06377874920289395,0.013310549308823742,0.011814936845166591,0.0,0.00021594395388193372,0.005694259525216789
2,0.2945324052552779,0.07471670364745057,0.0253069883188055,0.22954676326782741,0.25681483880476486,0.10379070684202946,0.2915459997119373,0.23403108959464114,0.23033445289772986,0.08329797554172144,0.0,0.43576501644243054,0.13422698366625327
3,0.507530182351507,0.246037639896056,0.22158409820990224,0.4347462972040937,0.4357699078426504,0.2691519869851269,0.37470720755861187,0.295823291068497,0.3972071507841151,0.17957454284768595,0.0,0.6644684135009257,0.3399015195989157
4,0.585256428660293,0.33004598413805575,0.37090090232807565,0.5294574161024662,0.5667105913856112,0.4026116418778882,0.43218572056171783,0.43393270076227003,0.45893540809635297,0.27244935253706926,0.006994090779268798,0.7114101100637453,0.47867953534371055
5,0.6288302360305206,0.3939606514055987,0.47368327865556664,0.5790676176015557,0.70330791822039,0.513538314486533,0.4665125655837156,0.524602900331503,0.5002215976719321,0.35506482144603446,0.07661091152797513,0.7454062985075388,0.5506497117173175
6,0.6686591994875581,0.42964626946183004,0.5443784855238428,0.6114898408202925,0.8025052843052495,0.5701176184346517,0.49043460439013636,0.569318627542539,0.5377596513874012,0.41610868575595117,0.25424447222855295,0.7741583794357662,0.6067198704052219
7,0.6938234869276325,0.4548322217128322,0.5858057963319906,0.6302886360722789,0.8412276841220283,0.5976152358484862,0.5076215079777038,0.6041674961786565,0.5576091826863271,0.4398263390056059,0.4000116031875614,0.7929158953122262,0.6459115323998823
8,0.709563046274565,0.46794251027445793,0.6061794413354584,0.6405271776776734,0.8600972155944467,0.6152998865480367,0.5208395056794192,0.625058388425666,0.5689697910716058,0.4492106233605388,0.5225025069133153,0.804394289764919,0.6796476160261768
9,0.7252888270869886,0.48018395680452164,0.6172115537539913,0.6485400366370949,0.8742966070221191,0.6276101568686006,0.5337661678197988,0.6406655423863604,0.5816542689293811,0.46045923153351487,0.6087719514550738,0.8127006355763912,0.7072357484248639
10,0.7373095441333177,0.4858128946552198,0.6272293458854082,0.6555567081080514,0.8841781203665149,0.635930894585258,0.5422196497244307,0.6490283700847153,0.5871037768202295,0.46481183810614546,0.6447752616871409,0.8195039457884751,0.7266139086730065
11,0.7442705991824103,0.4891768945134013,0.634936830542698,0.6612062473511106,0.8892035285650305,0.6429205494601525,0.5504379603314031,0.6555721372709701,0.5868718792781021,0.4700565704677626,0.6355855647178726,0.8259730837350113,0.7379557380761029
12,0.7540841638213948,0.494751153794582,0.6405711584697745,0.6650072847770526,0.8954171017865289,0.6485481048715823,0.5608755916532523,0.6607475108342286,0.5907116818543864,0.48013665600315153,0.6421874765991223,0.8298519043243495,0.750632868129805
13,0.7629549218073188,0.49710578726080523,0.6405602720963988,0.6689520381332696,0.9003479839738167,0.6525597095408959,0.5679072494310564,0.6633937897179892,0.5969375461024159,0.4871512343778088,0.679209316544031,0.8347502448133602,0.7602410569852355
14,0.773873076194542,0.5022573540417828,0.6418909320400205,0.6731208403865824,0.9048354857295529,0.6565584685494903,0.5737505447742097,0.6685295161708129,0.6010065154615755,0.503319485072561,0.6851382452648276,0.8381914646056,0.7659828706394266
15,0.7818279388464152,0.502036633382864,0.6405721524740651,0.6773681884099512,0.9081546432303612,0.6603131757534264,0.5794259651324063,0.6755081680112544,0.606150712468646,0.5120842604427532,0.6877488291817362,0.8393382765744944,0.7699365606802696
16,0.7844937819952912,0.510077029046518,0.6418709519580245,0.6813613454357647,0.9105336668907243,0.6640346815186694,0.583986905846656,0.6853770363556717,0.6120716039040591,0.5200554598755894,0.715169374124494,0.8411789632083362,0.7695404573245959
17,0.786549168321843,0.5130289758513263,0.6414056517775752,0.6843776792622488,0.911782979929043,0.6678990212961895,0.5884170294230143,0.6909215691396519,0.6162658707240598,0.529714390822362,0.7341071685555842,0.8429708467488656,0.771230177796175
18,0.7873245430739325,0.5161325917762832,0.6408433951539826,0.6873419009060308,0.9130651207732232,0.6697206754924415,0.5910341579525773,0.6955855136625902,0.6195767689957903,0.5371493835363449,0.7437189308044277,0.8441941464580697,0.7723477527774656
19,0.7854082841005943,0.5153965180968283,0.6397128403574278,0.6900809530691472,0.9134702442639521,0.6709387704076945,0.5940657450335115,0.693943385001426,0.6245521246500962,0.5381460952755519,0.7406197103629867,0.8464068881692792,0.7747012804947901
20,0.785446040769456,0.5137782702490121,0.6400793095292113,0.6934498362435297,0.9137464416649563,0.6741185273327795,0.5963148024378494,0.6948607781232938,0.6299737853753922,0.5418965158606345,0.7390433594525475,0.8489986820566974,0.775146692032623
21,0.7833512228781722,0.5135960644393989,0.6378384475722015,0.6979955908065784,0.9133678049273871,0.6762239264726031,0.5986288021930501,0.69786750111587,0.6333379533182074,0.5462489419011317,0.7530746535191584,0.8505458516990667,0.7744263087201817
22,0.7832639866039615,0.5173637898296786,0.6368753688605052,0.703041001192405,0.9151653018872689,0.6778962808809645,0.6010949361438301,0.699069348377308,0.6383210938413569,0.5510093624407357,0.7584794948903812,0.8515886013055107,0.777303412743261
23,0.7812248566824925,0.5197457353674882,0.6386880826201824,0.706686906498806,0.9161991592394225,0.6788048485297443,0.6045969388104699,0.7006191005472296,0.6388318148203065,0.553214429483593,0.7665635831794217,0.8528756465166766,0.7787890356712516
24,0.7825811721736414,0.5198165977878232,0.6419580725473971,0.710681685643243,0.9172232425927191,0.6806562495378183,0.6086954160155899,0.703223426434668,0.6406006582447032,0.5573280149022776,0.7694876223373632,0.8540709874228882,0.7791281258138675
25,0.7881122531045553,0.520031131130707,0.6431337031448559,0.712188985955324,0.9190718554660533,0.6824331651363448,0.6117885655265948,0.7023456088476172,0.6443116229633915,0.5609027916558791,0.774297930670469,0.8550301125036667,0.7795796765251088
26,0.7895627218575649,0.5186660276176621,0.6432923299434261,0.7102272275721957,0.9199083432143847,0.6836406326149529,0.6136999621665954,0.7017765323807889,0.644778068204175,0.562074390855574,0.7580747981300467,0.8559448551107098,0.7800836164993661
27,0.787818626650561,0.5188776642036825,0.6449792650972787,0.7070125125195049,0.9208786058381034,0.6851220670219935,0.6159686404063215,0.7022263153808038,0.6451559198974586,0.5619455043624488,0.7530313055386723,0.8572132187752817,0.7807355653140409
28,0.7860633965074213,0.5186771881660328,0.649061354595355,0.7052437949965403,0.9221323481294785,0.6872402488685725,0.617905559930037,0.7020876789973508,0.6472313192423381,0.5645171646234652,0.7533889438167733,0.8584912521137238,0.7813989549427706
29,0.7856797407747739,0.5182113048360071,0.6544003913385388,0.7025796628649744,0.9229347249615037,0.6888169191384733,0.6183381885280235,0.7029556784026365,0.6477977223122556,0.5668243843004543,0.7552754142580416,0.8592615030663353,0.7825876065365786
30,0.7866042617145969,0.5161777388084023,0.6563087342531643,0.7013866268362556,0.9237450033199872,0.6888998052529285,0.6185067580903199,0.7038926267578635,0.6480926148467465,0.5698007628217711,0.7529229613269732,0.8589973946222148,0.7825280937592672
31,0.7844225770192932,0.5133157915429544,0.6595416748633112,0.7014367481286907,0.9240291076616926,0.6902049225593186,0.6194984005979616,0.7043203591428704,0.6488009004493066,0.5721237327116399,0.7537311181096422,0.8587885953441277,0.7815981236130433
32,0.7849689383241223,0.5123882678304705,0.661261355173111,0.7021065960967411,0.9244543854619299,0.6910657114747126,0.6199412569280079,0.7053359970097671,0.6480571337052428,0.572207175577624,0.750795553556609,0.8584352786353452,0.7815412987035677
33,0.7862369937359167,0.512373175318579,0.6644686471965546,0.7029756449505684,0.9245082033762134,0.6917378380906438,0.6206391793888043,0.705705215854663,0.6475485239468889,0.5720063139472049,0.7520239795534842,0.858437632414884,0.7833004247517494
34,0.7870421834025072,0.5097952820452766,0.6645829455308581,0.7027390131222125,0.9247318937085625,0.6927692093088041,0.6207325890862309,0.7065707450186981,0.6464986068005976,0.5712442381901265,0.7546039519175213,0.8587471745101305,0.7819307498280211
35,0.7870585934761675,0.5078482567510583,0.6662583949797957,0.7038261884628246,0.9243613748443446,0.6931929421171505,0.6214436545017233,0.7064922765553252,0.6467621915967127,0.5697330340259663,0.7563554103876715,0.8587833488777126,0.7814890602617688
36,0.7889810535539984,0.5049484356629605,0.6678290390250933,0.7037344098672078,0.9238520856899642,0.6943309067872334,0.6223542508977091,0.7088639471905758,0.645097607854943,0.5692284235066352,0.7619479499001222,0.8591584330510648,0.7806652437358504
37,0.7900760456793987,0.5035879813666425,0.6690363699332975,0.7034743474435285,0.9229637160041547,0.6943669358886924,0.623272121867731,0.7105357685279383,0.6449086511809249,0.5688485222143569,0.7638470267515634,0.8591922675661857,0.7800244458887311
38,0.7908619309034404,0.5038867840558409,0.6694390358587623,0.7029264018206027,0.9229366328490379,0.6946564260402244,0.6244977676823877,0.7110023713478533,0.6439334653189852,0.5688884874171151,0.7621266712888768,0.8590661334235409,0.7791959005568818
39,0.792874223995169,0.5030419309011556,0.6707315578700375,0.7027914887124804,0.9230242498310416,0.6946559336505692,0.6246956571488274,0.7118607573376525,0.6424293550106999,0.5688400860052397,0.7633300584153967,0.8588661885756634,0.7787285007541545
40,0.7936751743798096,0.5034202534726754,0.6705207639330224,0.7023303422173699,0.9233949355854659,0.694954014298326,0.6251144093420282,0.7126228130417482,0.6426561976739199,0.5688297785223215,0.7638927927462824,0.8585527486667335,0.778700367182106
41,0.7951017521068768,0.5038956976295448,0.6714646076623643,0.7034720447137817,0.9227362268538529,0.6947364603227392,0.6253074996251089,0.7126513730721886,0.6433561600038975,0.569601220725078,0.7625635913653238,0.8585262542845342,0.7790756755832705
42,0.7958506748301338,0.505071550695796,0.67358724968298,0.7041816895815814,0.9232934057803176,0.6949294902315335,0.6260444790631594,0.7122081015336823,0.6438794920616706,0.5702506131000802,0.7620685038918319,0.8587075202218817,0.7796932268300343
43,0.7982444222391615,0.5054486102443474,0.6755284920532368,0.7045519908458417,0.9235697522802057,0.6952314035895806,0.6266725374005072,0.7117208800173127,0.6455022415499065,0.5707890788621081,0.7592387033773526,0.8589187764600408,0.7791206567887028
44,0.7995926466585842,0.504339378617368,0.6747182701448529,0.7045607301402399,0.9236520797365373,0.6957330855092234,0.6275233474747124,0.7113733469136414,0.6462059367783572,0.570903209505997,0.7606188155227394,0.8592334844419763,0.7781454160374867
45,0.7988995306851134,0.5033346213634045,0.6738991662827123,0.7047485202095416,0.9234971401217253,0.6961568402280711,0.6282676107094901,0.7112106577206562,0.6465070859296198,0.5698007497922917,0.7614015136285924,0.8593964444528508,0.7764424044134117
46,0.7987340103957657,0.5019407928402023,0.6747144382421755,0.7049919327453986,0.923192471605634,0.6962713483545614,0.6285217729007656,0.7109280355766476,0.6468320246443371,0.5683773802597722,0.7640284116808705,0.859734725208923,0.7758229189603634
47,0.7987600081355052,0.5012668981639631,0.6751712351982997,0.7053641024030032,0.9231427848975337,0.6963460413761533,0.6293224827625027,0.7109129400636159,0.6468546410000903,0.5683920476284886,0.7644380296834714,0.8599443724747654,0.7757142920545311
48,0.798493291743514,0.501011344910258,0.6753811819710199,0.7055554642239077,0.9229673395350841,0.6964953149607418,0.6297913029984697,0.7110038290678298,0.6462151570782668,0.5680753724285992,0.7653843776319958,0.860031118049588,0.7757125930739877
49,0.7988388480537537,0.5009392499386476,0.6755514087386832,0.7055316815289527,0.9230229578785677,0.6965733160267769,0.6301075931066407,0.7114056306272671,0.646738888255474,0.5679612765105999,0.7657854929375854,0.8602023471582416,0.7763502024349219
50,0.799355314589746,0.500901182244033,0.6758798562568709,0.7054725449987492,0.9229663972196945,0.6965821060350782,0.6304181713739007,0.711445772439978,0.6468402309818697,0.5677673310562852,0.7654097487777723,0.8603697418878351,0.7769921056419694
1,0.00043270325162335615,0.0,9.077353076851347e-06,0.01228911610312658,0.24480960783625377,0.00011373103213926805,0.21420302133531402,0.05458257476223019,0.0026597107174593736,0.006710685288233787,0.0,6.03958932411e-05,0.012788561122200488
