epoch,lr,train_loss,valid_loss,valid_miou,valid_pixel_acc
1,9.990232305719945e-05,1.6268514912083465,2.321587836742401,0.10049950754945038,0.3407712600386788
2,9.960967771506666e-05,1.132895921011391,2.1447557508945465,0.20182551439907967,0.5049160502002352
3,9.912321891107009e-05,0.9967312902774451,1.949628648161888,0.3304413371542012,0.612537946695628
4,9.844486647586723e-05,0.8897379867310794,1.7324720978736878,0.4630184284065667,0.7007357532684532
5,9.757729755661011e-05,0.8169833734725256,1.5076375514268876,0.5472099063450953,0.7594733917766944
6,9.652393605146844e-05,0.8164580659296528,1.2878351718187333,0.59354002830833,0.7910135232240105
7,9.528893909706797e-05,0.771340623216809,1.1013375490903854,0.6212729626193316,0.8091843498726583
8,9.387718066217124e-05,0.6913528639190601,0.9593796268105507,0.6387686930688664,0.8199506111259715
9,9.229423231234974e-05,0.6538449926946148,0.8442599952220917,0.6514946522474079,0.8271876190380903
10,9.054634122155989e-05,0.637310600130813,0.7455090552568435,0.6599752821254281,0.8325028122999053
11,8.864040551740155e-05,0.6101287322224311,0.6739279419183731,0.6661804401245877,0.8363690689835693
12,8.658394705735986e-05,0.6042227932492142,0.619830571860075,0.6725726966513416,0.8397960628971898
13,8.438508174347008e-05,0.5595698720254239,0.581139387190342,0.678337327046606,0.8427360103968021
14,8.205248749256013e-05,0.539772462732387,0.5489950239658355,0.6813099547804986,0.8444513515571118
15,7.959536998847742e-05,0.520398827468824,0.5231591328978539,0.6842529389536186,0.8462956434016309
16,7.702342635146032e-05,0.4997919497062575,0.5037504535168409,0.6873239688256595,0.8480803575342968
17,7.434680686803489e-05,0.4890074919229783,0.48964046165347097,0.6901184061578819,0.8498729564651579
18,7.157607493247108e-05,0.4549433639589346,0.4792779255658388,0.691831226134097,0.8510897111356696
19,6.872216535789155e-05,0.4052136067137028,0.47164031602442263,0.6941207405865939,0.8520480012378913
20,6.579634122155988e-05,0.4146475811611931,0.46575971096754076,0.6954940156254602,0.8530393655286208
21,6.28101494146603e-05,0.3902956356979766,0.4614021148532629,0.6966078670062938,0.8538632165086737
22,5.9775375071993364e-05,0.368542121641291,0.4581161990761757,0.6975205482671445,0.8546054476799577
23,5.670399506143306e-05,0.3663061298664261,0.4548055648803711,0.6996669190062124,0.8555911689288418
24,5.3608130716701005e-05,0.3469932389521749,0.45294817052781583,0.70155554188375,0.8565514247090449
25,5.049999999999999e-05,0.3329420881170147,0.4527818012982607,0.7022498473817034,0.857282524400524
26,4.7391869283298976e-05,0.32233970766922215,0.4525584772229195,0.7035808472785223,0.8582528956921371
27,4.429600493856693e-05,0.3343777243258818,0.45170891359448434,0.7049715738948799,0.8591553075326392
28,4.122462492800662e-05,0.3138731325384956,0.450695588439703,0.7062429738582575,0.8601168443164707
29,3.8189850585339674e-05,0.2932546769016944,0.4505221553146839,0.7065843574449011,0.8607341997202598
30,3.5203658778440106e-05,0.28283779857293617,0.4520644128322601,0.7067181689276698,0.8612527963701835
31,3.227783464210844e-05,0.27998972168696,0.45341476500034333,0.706978910135776,0.8614513519325784
32,2.942392506752889e-05,0.28545977784402715,0.4548573508858681,0.7068303536522293,0.8615431535115655
33,2.6653193131965075e-05,0.2736291181553835,0.45448848940432074,0.7079972393500349,0.8622635855348982
34,2.3976573648539646e-05,0.2543114740987244,0.4541922215372324,0.7088409956630743,0.8627208265282776
35,2.1404630011522576e-05,0.2561255319500869,0.4556106485426426,0.7088238469682604,0.8626453467024172
36,1.8947512507439848e-05,0.25603231239431307,0.4564080487936735,0.7089069665508378,0.8629458414414789
37,1.66149182565299e-05,0.2406082259221647,0.4574441500008106,0.7089007383628136,0.863267086230693
38,1.4416052942640132e-05,0.22650130894386544,0.45894003100693226,0.7085998371692072,0.8633779924327581
39,1.235959448259843e-05,0.23477987157848645,0.4606974691152573,0.7086496611427981,0.8635086989753893
40,1.04536587784401e-05,0.22436819417671588,0.4623945005238056,0.7088845708676147,0.8637076189612302
41,8.70576768765026e-06,0.21673828241585186,0.4640825979411602,0.7088586377261774,0.8638235718758657
42,7.122819337828748e-06,0.22608791619726698,0.4653877828270197,0.709013053783579,0.863943378844521
43,5.711060902932039e-06,0.2213674711075219,0.46731032244861126,0.7084043254020483,0.8638329254109797
44,4.476063948531556e-06,0.22443491131442148,0.4687020484358072,0.7080338476534054,0.8638846624971765
45,3.4227024433898985e-06,0.22416137613402973,0.4700148798525333,0.7078307728799357,0.8638454041532214
46,2.555133524132766e-06,0.22543641882684995,0.47097251266241075,0.7076243076972722,0.863841859306974
47,1.8767810889299075e-06,0.20512880103768044,0.4719315651804209,0.7077211121429628,0.8638736304055841
48,1.3903222849333503e-06,0.21322587376120705,0.47249273099005223,0.7077558087140629,0.8639736259905388
49,1.0976769428005576e-06,0.19707345189350955,0.47339446768164634,0.707783355614167,0.86397519411567
50,1e-06,0.21688625268028966,0.47415271736681464,0.7078552968827125,0.863990014002474
1,9.990232305719945e-05,1.6318895355710443,2.323002350330353,0.07588651961517799,0.2915878766611718
2,9.960967771506666e-05,1.1321942675038703,2.1386213302612305,0.2005199134739949,0.5172257220492904
